Sequence ID,name,length,exp number of AAs in TMHs,exp number of AAs in TMHs in the first 60 AAs,predicted number of TMH,topology,Probability of presequence,Prediction,Cleavage site (processing enzyme),Net charge,Positions for TOM20 recognition motif (deliminated by comma),Position of amphypathic alpha-helix,BHHPPP,BPHBHH,HBHHBb,HBHHbB,HHBHHB,HHBPHB,HHBPHH,HHBPHP,HHHBBH,HHHBPH,HHHHBB,HHPBHH,HPBHHP,PHHBPH
YP_009013230.1,gp28 [Mycobacterium virus SG4],55,22.53,22.53,1,i13-35o,0.101,No mitochondrial presequence,14(MPP),0.286,11-15,11-22-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009013492.1,gp37 [Mycobacterium virus Kugel],98,19.92,19.92,1,i5-27o,0.385,No mitochondrial presequence,40(MPP),0.050,"41-45,78-82",1-10-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_009013565.1,gp15 [Mycobacterium phage Dori],150,81.63,28.38,4,i20-42o52-74i90-112o122-136i,0.322,No mitochondrial presequence,82(MPP),-0.012,"3-7,21-25",13-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009013607.1,gp57 [Mycobacterium phage Dori],132,19.85,19.58,1,i13-35o,0.592,Possessing mitochondrial presequence,59(MPP),0.102,,9-18-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009013929.1,gp35 [Mycobacterium phage Turbido],146,87.16,37.96,4,i7-29o44-66i71-93o98-120i,0.280,No mitochondrial presequence,69(MPP),0.029,,19-28-low,-,-,-,-,-,-,-,-,-,-,1-6,-,-,-
YP_009014026.1,gp37 [Mycobacterium phage Dreamboat],98,19.84,19.84,1,i5-27o,0.299,No mitochondrial presequence,90(MPP),0.100,"41-45,66-70",1-10-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_009014204.1,gp36 [Mycobacterium phage RidgeCB],98,19.86,19.86,1,i5-27o,0.311,No mitochondrial presequence,90(MPP),0.056,"41-45,78-82",1-10-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_009014473.1,gp110 [Mycobacterium virus Firecracker],107,28.33,19.73,2,i36-53o57-74i,0.209,No mitochondrial presequence,22(MPP),0.227,"15-19,19-23,67-71,73-77",15-25-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009015006.1,hypothetical protein CR9_044 [Cronobacter phage CR9],95,21.25,21.25,1,i12-34o,0.140,No mitochondrial presequence,84(MPP),0.048,"1-5,5-9,8-12,81-85",3-12-high,-,-,-,-,-,-,-,-,-,-,-,4-9,-,-
YP_009015653.1,gp350 [Bacillus virus G],254,39.92,28.93,2,i20-39o49-71i,0.134,No mitochondrial presequence,34(MPP),0.176,19-23,14-23-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009015704.1,gp401 [Bacillus virus G],93,55.75,39.10,3,o4-18i31-53o57-79i,0.104,No mitochondrial presequence,76(MPP),0.079,28-32,4-13-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009015807.1,gp504 [Bacillus virus G],97,49.22,27.39,2,i12-34o72-94i,0.114,No mitochondrial presequence,49(MPP),0.102,6-10,4-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009015826.1,gp523 [Bacillus virus G],110,44.59,26.34,2,i29-51o56-78i,0.106,No mitochondrial presequence,26(MPP),0.154,"4-8,23-27,86-90",2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009016024.1,gp38 [Mycobacterium virus Perseus],94,20.04,20.04,1,i5-27o,0.285,No mitochondrial presequence,86(MPP),0.058,41-45,1-10-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_009016198.1,gp17 [Rhodococcus phage ReqiPine5],129,38.02,30.96,2,i24-46o50-69i,0.183,No mitochondrial presequence,"26(MPP), 34(Oct1)",0.231,8-12,8-17-low,-,-,-,9-14,-,-,-,-,-,-,-,-,-,-
YP_009016199.1,gp18 [Rhodococcus phage ReqiPine5],147,79.22,24.54,4,i12-34o58-80i87-109o119-136i,0.276,No mitochondrial presequence,37(MPP),0.108,"4-8,88-92",1-10-high,-,-,-,-,-,-,-,-,-,-,-,3-8,-,-
YP_009016395.1,gp32 [Mycobacterium virus Larva],150,62.42,6.20,3,o68-85i92-111o116-133i,0.137,No mitochondrial presequence,"26(MPP), 27(Icp55*)",0.115,"17-21,90-94",13-24-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009016433.1,gp70 [Mycobacterium virus Larva],284,88.64,39.11,4,i12-34o44-63i75-97o112-134i,0.650,Possessing mitochondrial presequence,"75(MPP), 76(Icp55*)",0.053,"11-15,31-35,63-67,72-76",10-19-high,-,-,12-17,-,11-16,-,-,-,-,-,-,-,-,-
YP_009021428.1,hypothetical protein [Salmonella phage vB_SalM_SJ2],217,16.55,16.27,1,o10-32i,0.297,No mitochondrial presequence,"25(MPP), 33(Oct1)",0.160,7-11,2-11-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009021228.1,capsid [Baminivirus],491,21.19,21.17,1,i26-48o,0.189,No mitochondrial presequence,92(MPP),0.141,50-54,18-27-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008126274.1,hypothetical protein PBI_JOBU08_36 [Mycobacterium phage Jobu08],143,85.76,38.52,4,i13-32o42-64i71-93o97-119i,0.120,No mitochondrial presequence,"71(MPP), 72(Icp55*)",0.056,10-14,20-29-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008873413.1,hypothetical protein [Bacillus phage vB_BanS-Tsamsa],144,34.17,22.71,1,i13-35o,0.556,Possessing mitochondrial presequence,12(MPP),0.583,"10-14,14-18",9-18-high,-,-,-,-,-,-,-,-,-,-,-,13-18,-,-
YP_009018428.1,gp13 [Mycobacterium phage Stinger],133,68.46,30.99,3,i25-44o48-67i74-93o,0.121,No mitochondrial presequence,29(MPP),0.103,26-30,17-26-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009018453.1,gp38 [Mycobacterium phage Stinger],91,37.52,37.52,2,i12-31o36-53i,0.356,No mitochondrial presequence,"60(MPP), 61(Icp55*)",0.083,87-91,1-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009018527.1,gp17 [Mycobacterium phage Akoma],144,79.11,36.81,4,o5-27i34-53o58-75i82-101o,0.144,No mitochondrial presequence,37(MPP),0.135,21-25,17-26-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009018529.1,gp19 [Mycobacterium phage Akoma],159,70.87,25.61,3,i21-38o53-75i95-117o,0.680,Possessing mitochondrial presequence,14(MPP),0.357,22-26,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009018564.1,gp54 [Mycobacterium phage Akoma],109,23.57,23.42,1,i7-29o,0.298,No mitochondrial presequence,31(MPP),0.129,"7-11,80-84",2-11-high,-,-,-,4-9,-,-,-,-,-,-,-,-,-,-
YP_009019021.1,gp42 [Mycobacterium phage BarrelRoll],279,155.47,44.10,7,o4-26i38-60o75-97i104-126o150-172i184-206o216-238i,0.138,No mitochondrial presequence,28(MPP),0.107,"9-13,93-97",9-18-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009019114.1,gp39 [Mycobacterium phage SkiPole],94,20.00,20.00,1,i5-27o,0.276,No mitochondrial presequence,86(MPP),0.058,41-45,1-10-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_009026383.1,ORF 3b [Casuarina virus],115,23.07,0.00,1,i73-95o,0.464,Possessing mitochondrial presequence,47(MPP),0.064,,1-11-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_007675509.1,hypothetical protein SWTG_00019 [Synechococcus phage S-RIM2 R1_1999],112,46.92,23.85,2,i21-43o76-98i,0.469,Possessing mitochondrial presequence,57(MPP),0.088,"2-6,6-10,59-63",1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007675537.1,hypothetical protein SWTG_00047 [Synechococcus phage S-RIM2 R1_1999],62,18.75,18.75,1,i13-32o,0.719,Possessing mitochondrial presequence,"38(MPP), 39(Icp55*)",0.132,1-5,12-21-high,12-17,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008240240.1,hypothetical protein iEPS5_009 [Salmonella virus iEPS5],66,18.78,18.69,1,o4-26i,0.276,No mitochondrial presequence,"33(MPP), 34(Icp55*)",0.121,,17-26-high,-,-,-,-,-,-,-,-,23-28,-,-,-,-,-
YP_009010594.1,hypothetical protein IIV25_061R [Invertebrate iridovirus 25],326,19.01,18.54,1,i20-37o,0.118,No mitochondrial presequence,"19(MPP), 20(Icp55*)",0.053,54-58,8-17-high,-,-,-,-,-,-,8-13,-,-,7-12,-,-,-,-
YP_008430932.1,hypothetical protein TROLL_148 [Bacillus phage Troll],275,22.28,22.28,1,i13-35o,0.119,No mitochondrial presequence,49(MPP),0.061,10-14,9-18-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009031894.1,hypothetical protein PBI_KAMPY_34 [Mycobacterium phage Kampy],148,87.51,35.13,4,i9-31o46-68i73-95o100-122i,0.137,No mitochondrial presequence,13(MPP),0.231,10-14,20-29-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009032082.1,hypothetical protein PBI_LAMINA13_36 [Mycobacterium phage Lamina13],98,19.75,19.75,1,i5-27o,0.315,No mitochondrial presequence,85(MPP),0.094,"41-45,66-70",1-10-low,-,-,-,-,-,-,1-6,-,-,-,-,-,-,-
YP_009032164.1,putative tape measure protein [Clostridium phage CDMH1],780,145.01,0.01,6,o281-300i321-343o353-375i388-410o457-479i486-508o,0.154,No mitochondrial presequence,38(MPP),0.026,,10-21-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009032371.1,hypothetical protein 9g_00048 [Enterobacteria phage 9g],80,20.12,20.12,1,i19-38o,0.727,Possessing mitochondrial presequence,19(MPP),0.158,3-7,2-11-high,-,-,-,-,-,-,-,-,1-6,-,11-16,-,-,-
YP_009032424.1,holin [Mycobacterium phage ZoeJ],136,69.19,35.09,4,i16-34o38-60i67-84o89-106i,0.232,No mitochondrial presequence,16(MPP),0.062,"13-17,63-67",11-20-high,-,-,-,-,-,-,16-21,-,-,-,-,-,-,-
YP_009036024.1,putative tail assembly protein I [Escherichia phage e4/1c],191,28.21,0.00,1,i101-123o,0.157,No mitochondrial presequence,"38(MPP), 39(Icp55*)",0.158,"24-28,35-39",17-26-high,2-7,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009035105.1,hypothetical protein P092_0044 [Lactococcus phage P092],279,42.39,20.52,2,o23-45i75-97o,0.325,No mitochondrial presequence,61(MPP),0.115,,5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009035109.1,hypothetical protein P092_0048 [Lactococcus phage P092],386,17.78,17.76,1,i13-31o,0.129,No mitochondrial presequence,37(MPP),0.189,,18-27-low,-,9-14,-,-,-,7-12,-,-,-,6-11,-,-,-,-
YP_009035861.1,hypothetical protein P118_0046 [Lactococcus phage P118],279,42.49,20.46,2,o23-45i75-97o,0.326,No mitochondrial presequence,61(MPP),0.115,,5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009035862.1,hypothetical protein P118_0047 [Lactococcus phage P118],39,21.61,21.61,1,i13-35o,0.248,No mitochondrial presequence,8(MPP),0.375,"2-6,5-9",1-11-high,-,-,-,6-11,-,-,-,-,-,-,-,-,-,-
YP_009035866.1,hypothetical protein P118_0051 [Lactococcus phage P118],386,17.78,17.76,1,i13-31o,0.123,No mitochondrial presequence,37(MPP),0.189,,18-27-low,-,9-14,-,-,-,7-12,-,-,-,6-11,-,-,-,-
YP_009035936.1,hypothetical protein PBI_HAWKEYE_41 [Mycobacterium phage Hawkeye],174,88.02,23.97,4,i29-51o66-85i98-117o122-144i,0.226,No mitochondrial presequence,12(MPP),0.417,"1-5,10-14",8-17-high,-,-,-,-,1-6,-,-,-,-,-,-,-,-,-
YP_009036791.1,hypothetical protein P162_0048 [Lactococcus phage P162],279,42.49,20.46,2,o23-45i75-97o,0.321,No mitochondrial presequence,61(MPP),0.115,,5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009036792.1,hypothetical protein P162_0049 [Lactococcus phage P162],44,22.25,22.25,1,i12-34o,0.128,No mitochondrial presequence,7(MPP),0.286,"1-5,4-8",1-10-high,-,-,-,5-10,1-6,-,-,-,-,-,-,-,-,-
YP_009036795.1,hypothetical protein P162_0052 [Lactococcus phage P162],396,17.79,17.76,1,i13-31o,0.126,No mitochondrial presequence,37(MPP),0.189,,18-27-low,-,9-14,-,-,-,7-12,-,-,-,6-11,-,-,-,-
YP_009036871.1,hypothetical protein P078_0046 [Lactococcus phage P078],279,42.49,20.46,2,o23-45i75-97o,0.326,No mitochondrial presequence,61(MPP),0.115,,5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009036874.1,hypothetical protein P078_0049 [Lactococcus phage P078],386,17.85,17.76,1,i13-31o,0.122,No mitochondrial presequence,37(MPP),0.189,45-49,18-27-low,-,9-14,-,-,-,7-12,-,-,-,6-11,-,-,-,-
YP_009037295.1,hypothetical protein M316_0105 [Nitrincola phage 1M3-16],106,21.12,21.12,1,i5-27o,0.110,No mitochondrial presequence,37(MPP),0.081,2-6,1-10-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_008869261.1,putative SAR endolysin [Edwardsiella phage PEi21],177,17.66,17.61,1,i7-29o,0.117,No mitochondrial presequence,27(MPP),0.111,,5-14-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007517768.1,hypothetical protein [Pelagibacter phage HTVC011P],145,9.92,9.92,1,i12-29o,0.475,Possessing mitochondrial presequence,27(MPP),0.148,"13-17,24-28,86-90,89-93",8-17-high,-,-,-,-,24-29,-,-,-,-,-,-,12-17,-,-
YP_007517788.1,hypothetical protein [Pelagibacter phage HTVC011P],121,37.03,0.06,2,i62-82o97-114i,0.468,Possessing mitochondrial presequence,16(MPP),0.125,13-17,8-17-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009041473.1,L2 [Fulmarus glacialis papillomavirus 1],533,21.20,0.00,1,i79-101o,0.741,Possessing mitochondrial presequence,22(MPP),0.364,76-80,18-27-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009042116.1,envelope glycoprotein K [Fruit bat alphaherpesvirus 1],335,113.12,21.64,5,o10-32i120-137o152-174i246-268o299-321i,0.205,No mitochondrial presequence,37(MPP),0.054,,5-14-high,-,-,-,-,-,-,-,3-8,-,2-7,-,-,-,-
YP_009042128.1,envelope glycoprotein E [Fruit bat alphaherpesvirus 1],552,25.90,1.72,1,o424-446i,0.214,No mitochondrial presequence,19(MPP),0.105,53-57,2-11-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
NP_057856.1,"Envelope surface glycoprotein gp160, precursor [Human immunodeficiency virus 1]",856,69.63,17.84,3,i21-43o512-534i678-700o,0.198,No mitochondrial presequence,17(MPP),0.235,"7-11,70-74",3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009009214.1,hypothetical protein Jolie1_014 [Mycobacterium phage Jolie1],169,81.15,26.90,4,i21-40o55-77i108-127o137-154i,0.349,No mitochondrial presequence,25(MPP),0.240,"8-12,22-26",3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009009215.1,hypothetical protein Jolie1_015 [Mycobacterium phage Jolie1],110,22.88,22.84,1,o4-26i,0.335,No mitochondrial presequence,46(MPP),0.087,"22-26,71-75",19-28-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009032238.1,hypothetical protein Hosp_012 [Mycobacterium phage Hosp],169,82.72,27.08,4,i21-40o55-77i110-132o137-154i,0.170,No mitochondrial presequence,25(MPP),0.200,"8-12,22-26",3-12-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009032239.1,hypothetical protein Hosp_013 [Mycobacterium phage Hosp],110,22.84,22.84,1,o4-26i,0.361,No mitochondrial presequence,46(MPP),0.087,22-26,19-28-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009043591.1,lipoprotein [Pseudomonas phage phiPSA1],112,21.15,21.15,1,i17-39o,0.109,No mitochondrial presequence,56(MPP),0.036,"1-5,10-14,68-72,96-100",9-18-high,-,-,-,-,-,-,-,-,8-13,-,-,-,-,-
YP_009043232.1,hypothetical protein phiPSA2_04 [Pseudomonas phage phiPSA2],178,19.44,19.00,1,i13-33o,0.124,No mitochondrial presequence,41(MPP),0.098,"41-45,45-49,88-92",12-21-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009043275.1,hypothetical protein phiPSA2_47 [Pseudomonas phage phiPSA2],57,19.80,19.80,1,i21-43o,0.198,No mitochondrial presequence,15(MPP),0.133,12-16,17-26-high,-,-,-,-,-,-,-,-,10-15,-,9-14,-,-,-
YP_009043331.1,hypothetical protein PBI_MANAD_56 [Mycobacterium phage Manad],121,21.74,21.15,1,i29-51o,0.113,No mitochondrial presequence,23(MPP),0.130,"7-11,50-54,65-69",3-12-high,9-14,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009043641.1,hypothetical protein PBI_OKIROE_40 [Mycobacterium phage OkiRoe],280,150.96,41.25,7,o5-24i37-57o72-91i104-126o153-175i188-207o217-239i,0.241,No mitochondrial presequence,"28(MPP), 29(Icp55*)",0.107,"10-14,51-55,66-70",4-13-low,-,-,-,-,-,-,-,-,-,-,21-26,9-14,-,-
YP_009043671.1,hypothetical protein PBI_OKIROE_70 [Mycobacterium phage OkiRoe],284,88.46,39.53,4,i12-34o44-63i75-97o112-134i,0.189,No mitochondrial presequence,"75(MPP), 76(Icp55*)",0.040,"11-15,31-35,63-67,72-76",10-19-high,-,-,12-17,-,11-16,-,-,-,-,-,-,-,-,-
YP_009043997.1,hypothetical protein PBI_DAMIEN_8 [Mycobacterium phage Damien],110,22.79,0.10,1,i62-84o,0.723,Possessing mitochondrial presequence,25(MPP),0.360,"13-17,59-63",5-15-low,-,-,-,-,-,-,-,-,11-16,-,-,-,-,-
YP_009044025.1,hypothetical protein PBI_DAMIEN_36 [Mycobacterium phage Damien],159,80.99,29.55,4,i13-31o51-73i86-108o118-135i,0.103,No mitochondrial presequence,82(MPP),0.037,"79-83,88-92",9-19-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009044070.1,hypothetical protein PBI_DAMIEN_81 [Mycobacterium phage Damien],98,22.12,22.12,1,o4-26i,0.159,No mitochondrial presequence,35(MPP),0.086,"20-24,90-94",20-29-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009044336.1,holin [Pseudomonas phage vB_PaeS_SCH_Ab26],88,43.11,27.77,2,i21-43o58-76i,0.190,No mitochondrial presequence,21(MPP),0.095,"13-17,72-76",5-14-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009044228.1,phage tail tape measure protein [Leuconostoc phage phiLNTR3],910,156.86,0.00,6,o541-563i570-592o596-618i639-661o704-726i733-755o,0.125,No mitochondrial presequence,31(MPP),0.032,18-22,18-29-low,-,-,-,-,-,-,-,-,-,-,-,-,18-23,-
YP_009044324.1,hypothetical protein phiLN6B_028 [Leuconostoc phage phiLN6B],91,41.57,37.11,2,i17-34o44-66i,0.180,No mitochondrial presequence,35(MPP),0.200,61-65,5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009044748.1,hypothetical protein phiLN12_029 [Leuconostoc phage phiLN12],88,41.51,36.87,2,i17-34o44-66i,0.146,No mitochondrial presequence,35(MPP),0.200,61-65,5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009044782.1,phage tail tape measure protein [Leuconostoc phage phiLN25],855,153.71,0.00,6,o508-530i542-564o574-596i603-625o649-671i678-700o,0.130,No mitochondrial presequence,31(MPP),0.032,18-22,18-29-low,-,-,-,-,-,-,-,-,-,-,-,-,18-23,-
YP_009044892.1,phage tail tape measure protein [Leuconostoc phage phiLN34],910,142.76,0.00,6,o538-560i567-589o599-618i639-661o690-712i733-755o,0.114,No mitochondrial presequence,31(MPP),0.032,18-22,18-29-low,-,-,-,-,-,-,-,-,-,-,-,-,18-23,-
YP_009044933.1,phage tail tape measure protein [Leuconostoc phage phiLNTR2],910,156.86,0.00,6,o541-563i570-592o596-618i639-661o704-726i733-755o,0.125,No mitochondrial presequence,31(MPP),0.032,18-22,18-29-low,-,-,-,-,-,-,-,-,-,-,-,-,18-23,-
YP_009044981.1,hypothetical protein phiLN03_027 [Leuconostoc phage phiLN03],91,41.51,36.97,2,i17-34o44-66i,0.186,No mitochondrial presequence,35(MPP),0.200,61-65,5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009045045.1,tape measure protein [Staphylococcus phage DW2],1047,194.75,0.00,7,i231-253o263-285i569-591o630-652i665-687o702-724i731-753o,0.253,No mitochondrial presequence,26(MPP),0.115,"6-10,23-27,46-50",4-13-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009045052.1,hypothetical protein DW2_59 [Staphylococcus phage DW2],101,22.58,0.00,1,i78-100o,0.102,No mitochondrial presequence,9(MPP),0.222,,19-30-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009046088.1,hypothetical protein pepv_095 [Penguinpox virus],656,32.95,0.00,1,o548-566i,0.172,No mitochondrial presequence,34(MPP),0.147,72-76,9-18-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009046196.1,C-type lectin-like protein [Penguinpox virus],173,22.51,22.50,1,i12-34o,0.130,No mitochondrial presequence,41(MPP),0.146,"16-20,74-78",15-24-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009046212.1,ankyrin repeat protein [Penguinpox virus],294,28.91,22.42,1,i21-43o,0.151,No mitochondrial presequence,20(MPP),0.150,17-21,5-14-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009046242.1,hypothetical protein pepv_273 [Penguinpox virus],467,15.59,15.05,1,i7-29o,0.199,No mitochondrial presequence,"12(MPP), 13(Icp55*)",0.250,9-13,8-17-high,-,-,-,-,-,-,-,-,7-12,-,-,-,-,-
YP_009046247.1,Ig-like domain protein [Pigeonpox virus],467,15.62,15.07,1,i7-29o,0.190,No mitochondrial presequence,"12(MPP), 13(Icp55*)",0.250,"9-13,48-52",8-17-high,-,-,-,-,-,-,-,-,7-12,-,-,-,-,-
YP_009046325.1,hypothetical protein fep_093 [Pigeonpox virus],656,33.85,0.00,1,o548-566i,0.348,No mitochondrial presequence,34(MPP),0.206,"13-17,72-76",9-18-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009046430.1,C-type lectin-like protein [Pigeonpox virus],173,22.51,22.50,1,i12-34o,0.131,No mitochondrial presequence,41(MPP),0.146,"16-20,74-78",15-24-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009046519.1,envelope glycoprotein H [Falconid herpesvirus 1],831,28.24,4.60,1,o794-816i,0.344,No mitochondrial presequence,34(MPP),0.147,27-31,13-23-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009046532.1,nuclear egress membrane protein [Falconid herpesvirus 1],285,15.75,0.00,1,i250-272o,0.924,Possessing mitochondrial presequence,48(MPP),0.146,67-71,3-12-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_009004208.1,hypothethical phage protein [Citrobacter phage CR8],85,19.19,19.19,1,i29-51o,0.393,Possessing mitochondrial presequence,34(MPP),0.235,13-17,10-19-low,-,-,-,-,-,-,-,-,-,-,-,-,13-18,-
YP_009004212.2,conserved hypothetical phage protein [Citrobacter phage CR8],56,20.60,20.60,1,i20-42o,0.269,No mitochondrial presequence,"24(MPP), 25(Icp55*)",0.208,8-12,8-17-high,-,-,-,-,8-13,-,11-16,-,-,-,-,-,-,-
YP_007969866.1,membrane protein EE51 [Elephantid betaherpesvirus 1],294,41.55,18.79,1,o256-278i,0.729,Possessing mitochondrial presequence,38(MPP),0.158,35-39,20-30-high,-,4-9,-,-,-,-,-,-,-,-,-,-,-,-
YP_007969862.1,membrane protein EE47 [Elephantid betaherpesvirus 1],319,174.27,30.46,8,i13-35o50-72i84-106o121-143i150-172o224-243i250-272o276-298i,0.158,No mitochondrial presequence,78(MPP),0.038,,7-16-high,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007969834.1,membrane protein EE18 [Elephantid betaherpesvirus 1],228,131.12,35.86,6,o4-21i28-50o60-82i94-116o131-153i166-188o,0.140,No mitochondrial presequence,25(MPP),0.120,78-82,4-13-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007969823.1,protein UL27 [Elephantid betaherpesvirus 1],520,23.93,0.00,1,i118-140o,0.113,No mitochondrial presequence,64(MPP),0.016,"9-13,61-65,79-83",5-14-high,-,-,10-15,-,9-14,-,-,-,-,-,-,-,-,-
YP_007969810.1,nuclear egress membrane protein [Elephantid betaherpesvirus 1],276,21.80,0.01,1,i249-271o,0.297,No mitochondrial presequence,53(MPP),0.057,,6-15-high,-,-,-,-,-,-,8-13,-,-,-,-,-,-,-
YP_007969798.1,envelope glycoprotein H [Elephantid betaherpesvirus 1],740,22.80,0.46,1,o707-729i,0.114,No mitochondrial presequence,9(MPP),0.333,"1-5,6-10,60-64,75-79",8-17-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_007969772.1,tegument protein UL7 [Elephantid betaherpesvirus 1],230,22.54,0.00,1,i129-151o,0.107,No mitochondrial presequence,84(MPP),-0.060,4-8,9-20-low,-,-,-,-,-,-,-,-,2-7,-,1-6,-,-,-
YP_006987899.1,hypothetical protein CbK_gp003 [Caulobacter virus phiCbK],34,20.73,20.73,1,o10-29i,0.431,Possessing mitochondrial presequence,"7(MPP), 8(Icp55*)",0.286,,17-26-low,-,-,-,-,-,-,-,-,3-8,-,2-7,-,-,-
YP_006988064.1,hypothetical protein CbK_gp168 [Caulobacter virus phiCbK],200,42.00,41.95,2,i9-26o36-58i,0.130,No mitochondrial presequence,"70(MPP), 71(Icp55*)",0.057,32-36,17-26-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006988217.1,hypothetical protein CbK_gp321 [Caulobacter virus phiCbK],34,20.73,20.73,1,o10-29i,0.431,Possessing mitochondrial presequence,"7(MPP), 8(Icp55*)",0.286,,17-26-low,-,-,-,-,-,-,-,-,3-8,-,2-7,-,-,-
YP_006988684.1,hypothetical protein CcrMagneto_gp002 [Caulobacter virus Magneto],82,28.55,24.56,1,o41-63i,0.250,No mitochondrial presequence,65(MPP),0.108,11-15,2-11-high,-,-,-,-,-,-,-,-,-,-,19-24,-,-,-
YP_006988685.1,hypothetical protein CcrMagneto_gp003 [Caulobacter virus Magneto],34,20.75,20.75,1,o10-29i,0.203,No mitochondrial presequence,"7(MPP), 8(Icp55*)",0.286,,12-21-low,-,-,-,-,-,-,-,-,3-8,-,2-7,-,-,-
YP_006988848.1,hypothetical protein CcrMagneto_gp166 [Caulobacter virus Magneto],200,42.25,42.21,2,i9-26o36-58i,0.165,No mitochondrial presequence,"70(MPP), 71(Icp55*)",0.057,32-36,17-26-low,-,-,-,-,-,-,-,-,-,-,-,-,-,-
YP_006989012.1,hypothetical protein CcrMagneto_gp330 [Caulobacter virus Magneto],82,28.55,24.56,1,o41-63i,0.250,No mitochondrial presequence,65(MPP),0.108,11-15,2-11-high,-,-,-,-,-,-,-,-,-,-,19-24,-,-,-
YP_006989013.1,hypothetical protein CcrMagneto_gp331 [Caulobacter virus Magneto],34,20.75,20.75,1,o10-29i,0.203,No mitochondrial presequence,"7(MPP), 8(Icp55*)",0.286,,12-21-low,-,-,-,-,-,-,-,-,3-8,-,2-7,-,-,-
